sentence,label,idx
ACEGIKMO,1,0
ADEGILMO,1,1
ADFHILNO,0,2
ADEGILMP,1,3
ADFGJLMP,1,4
ADEHJLMP,0,5
BDEHIKMP,1,6
ACEGJLMO,1,7
ADEHJLMP,1,8
ADEHJKMP,1,9
ACEHJLMP,1,10
ACEGILMO,1,11
ADFGJLNO,1,12
ACEHIKMP,1,13
ACEGJLMO,1,14
ACEGILMO,1,15
ACEHIKMP,1,16
BDEHJLMP,1,17
ACEHIKMP,0,18
BDEHJKMO,0,19
BCEHJKMP,0,20
BDEHJLMO,1,21
BCEHJLMP,0,22
ADEGILMP,1,23
BDFHJLMP,0,24
BDFHILMO,0,25
ACEHJLMP,1,26
ADEHJKMP,0,27
ADFGILNP,1,28
BDFGJKMP,0,29
BDEHJKMP,0,30
ADEHIKMP,1,31
ACEHILMP,1,32
BDFGJKNO,1,33
ACFGJLNO,1,34
BDEHILMO,1,35
ACFGJKNO,1,36
ACEGJKMP,1,37
BDFHJKMO,0,38
BCEHJKMO,0,39
ADFGJLMP,0,40
BCFHJLMO,0,41
ADEHJKMP,0,42
ACFHJKNO,1,43
ADEHJKMP,0,44
ACFGIKNP,1,45
ACEGILMP,1,46
BCEHILMO,0,47
BCEGIKMP,1,48
ACEHJKMO,0,49
ACEHILMO,1,50
BDEHJKMO,0,51
ADEHJKMP,0,52
ADFGJKNP,1,53
BCEHJKMP,0,54
BCEHJKMP,0,55
BDEHJLMO,0,56
ADEGIKMP,1,57
BDEHJLMP,0,58
ACEHJKNP,1,59
ADEGJKMP,0,60
ACEGILMO,1,61
ADFGIKNO,1,62
ACFGIKMO,1,63
ADEHJKMP,0,64
ADFHJLMP,0,65
BDFHJKMP,0,66
ADEHJKMO,0,67
ADEGJLMO,1,68
ACFGIKNP,1,69
BCFHIKNP,1,70
BDEGJKMP,0,71
BCEHJKMP,0,72
ADEHJKMO,0,73
BCEHJKMO,0,74
ACEHIKMP,1,75
BDFGJKMP,0,76
ACFGJKNO,1,77
ADEHJLMO,0,78
ADEHJKMO,0,79
BDFHIKNO,0,80
ACEHILMP,1,81
ADEGILMP,1,82
ACEHILMO,1,83
BCFGJKNP,1,84
BDEHJLMP,0,85
BDFHJLMO,0,86
ACEGIKMP,1,87
BCEHJLMO,0,88
BDFGJLNO,1,89
BDEGILMO,1,90
ADEHJLMP,0,91
ADEHJKMP,1,92
ADEHILMP,1,93
ADEHJKMO,1,94
ADFHJLMO,0,95
ACEGJKNP,1,96
ACEGIKNP,1,97
ACFHJKNP,1,98
ACEHJLMP,1,99
ACEGIKMP,1,100
BDEHJLMP,1,101
BCEHIKMO,1,102
ACEGIKNO,1,103
ADFGJLNO,1,104
ADEHJKMO,0,105
ADEHJKMP,0,106
BCFGJKMO,0,107
ADEGIKMO,1,108
BDEHJLMO,0,109
ACFGJKNP,1,110
ADEHIKMP,1,111
ACFGJKNP,1,112
BCFHILMO,0,113
ADEHJKMP,0,114
ADEGJLMO,1,115
ACEHILMO,1,116
ADEHJKNO,0,117
ACEGIKNP,1,118
BDEHJKMP,0,119
ADFHJLMO,0,120
ADFGJLNO,1,121
ACFHJKNP,1,122
BDEHJKMP,0,123
ADFHJLMP,0,124
ACEHILMP,1,125
BDEHJKMP,0,126
BCFGIKNO,1,127
ACFGJKNP,1,128
ACEGJKMO,1,129
BCFGIKMP,0,130
BCFHIKNO,1,131
ACEGILMP,1,132
BCEHILMP,0,133
BCEHJKMO,0,134
BCEHJKMO,0,135
ACEGJLMO,1,136
BDEHJLMO,0,137
BCEHJKMP,0,138
BDEHJKMP,0,139
ACEGJKNO,1,140
ACFGJKNO,1,141
BCEHJKNO,0,142
ADEHILMO,1,143
ACEGJKMO,1,144
ACEHILMO,1,145
ACFGJKNP,1,146
BDFGJKMP,0,147
ADFGILNO,1,148
ACFGJKNP,1,149
ACFGJKNO,1,150
ACEHJLMO,1,151
BDFHJKMO,0,152
ACFHJKMP,1,153
ADEHJLMO,0,154
ACFGIKNP,1,155
ACEGJKNP,1,156
ACEGJLMO,1,157
BDFHJLNP,1,158
BDFHJKMO,0,159
BDEHJKMP,0,160
BDFHJKNO,0,161
BCEGJKMP,0,162
ACFGJKNO,1,163
ACEGJKMP,0,164
ADEGILMO,1,165
ADEGJLMO,1,166
BCEHJLMP,0,167
ACFHJKNP,1,168
ACEHIKNO,1,169
BDFHJLMP,0,170
ADEHIKNO,1,171
